config,Level,Field,Type,N,ExactAcc,Precision,Recall,F1,HallucinationRate,MissRate_N,MissRate_validGold,N_valid,BothNull,MAE,RMSE,TolAcc_0,TolAcc_0.5,TolAcc_1.0,TolAcc_1.5,TolAcc_2.0,Accuracy,MacroF1,Kappa,AUROC,TolAcc_1,TolAcc_2,TolAcc_3,TolAcc_4,TolAcc_5,ReportExactMatch,ReportExactCount,OverallAverage_4Q,OverallAverage_ref
Llama3.1-8B_ZeroShot,field,TumorSize,numeric,476,,,,,0.0,0.0567,0.0571,446.0,3.0,0.4135,2.2312,0.935,0.9507,0.9574,0.9641,0.9641,,,,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,Histologic_type,array,476,0.2122,0.24,0.2705,0.2543,0.76,0.0399,0.0399,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,Lauren_type,categorical,476,,,,,0.0,0.063,0.063,446.0,0.0,,,,,,,,0.9417,0.3131,0.8905,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,Differentiation,array,476,0.4895,0.5175,0.6058,0.5581,0.4825,0.0357,0.041,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,ProximalMargin,numeric,476,,,,,0.0,0.0462,0.0464,452.0,2.0,1.0728,19.695,0.9602,0.9624,0.9646,0.9646,0.9668,,,,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,DistalMargin,numeric,476,,,,,0.0,0.0546,0.0547,449.0,1.0,1.857,37.5233,0.9666,0.971,0.9733,0.9755,0.9822,,,,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,LymphovascularInvasion,binary,476,,,,0.8696,0.0,0.0189,0.0189,466.0,1.0,,,,,,,,0.8519,,,0.8684,,,,,,,,,
Llama3.1-8B_ZeroShot,field,PerineuralInvasion,binary,476,,,,0.9695,0.0,0.021,0.0211,465.0,1.0,,,,,,,,0.9828,,,0.9724,,,,,,,,,
Llama3.1-8B_ZeroShot,field,T_stage,categorical,476,,,,,0.0021,0.0273,0.0275,460.0,2.0,,,,,,,,0.9609,0.7033,0.9479,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,N_stage,categorical,476,,,,,0.0042,0.0231,0.0232,463.0,0.0,,,,,,,,0.9892,0.8168,0.9774,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,M_stage,categorical,476,,,,,0.0021,0.0231,0.0232,464.0,0.0,,,,,,,,0.9871,0.8717,0.7438,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,Staging,categorical,476,,,,,0.0063,0.0483,0.0488,448.0,2.0,,,,,,,,0.7031,0.3094,0.5099,,,,,,,,,,
Llama3.1-8B_ZeroShot,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.0315,0.0315,461.0,0.0,0.1258,1.319,0.9805,,,,,,,,,0.9805,0.987,0.9913,0.9935,0.9935,,,,
Llama3.1-8B_ZeroShot,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.0546,0.0546,450.0,0.0,0.0978,1.17,0.9844,,,,,,,,,0.9867,0.9889,0.9889,0.9933,0.9978,,,,
Llama3.1-8B_ZeroShot,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.0063,3.0,79.9238,74.0906
Llama3.1-8B_FewShot,field,TumorLocation,array,476,0.813,0.8802,0.8436,0.8615,0.1198,0.0609,0.0609,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,TumorCircumference,array,476,0.8025,0.9289,0.7887,0.8531,0.0711,0.1366,0.1392,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,TumorSize,numeric,476,,,,,0.0,0.0651,0.0655,442.0,3.0,0.3147,1.8048,0.9615,0.9615,0.9638,0.9661,0.9683,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,Histologic_type,array,476,0.7437,0.7713,0.8156,0.7928,0.2287,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,Lauren_type,categorical,476,,,,,0.0,0.063,0.063,446.0,0.0,,,,,,,,0.9888,0.6978,0.9784,,,,,,,,,,
Llama3.1-8B_FewShot,field,Differentiation,array,476,0.6597,0.6829,0.8077,0.7401,0.3171,0.0441,0.0506,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,ProximalMargin,numeric,476,,,,,0.0,0.0714,0.0717,440.0,2.0,0.0602,0.6051,0.9864,0.9886,0.9886,0.9886,0.9886,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,DistalMargin,numeric,476,,,,,0.0,0.0609,0.0611,446.0,1.0,0.0704,0.5444,0.9731,0.9776,0.9776,0.9798,0.9888,,,,,,,,,,,,,
Llama3.1-8B_FewShot,field,LymphovascularInvasion,binary,476,,,,0.9187,0.0,0.0924,0.0926,431.0,1.0,,,,,,,,0.9072,,,0.9119,,,,,,,,,
Llama3.1-8B_FewShot,field,PerineuralInvasion,binary,476,,,,0.9961,0.0,0.0483,0.0484,452.0,1.0,,,,,,,,0.9978,,,0.9961,,,,,,,,,
Llama3.1-8B_FewShot,field,T_stage,categorical,476,,,,,0.0,0.042,0.0423,453.0,3.0,,,,,,,,0.9801,0.8144,0.9735,,,,,,,,,,
Llama3.1-8B_FewShot,field,N_stage,categorical,476,,,,,0.0042,0.042,0.0422,454.0,0.0,,,,,,,,0.9956,0.825,0.9909,,,,,,,,,,
Llama3.1-8B_FewShot,field,M_stage,categorical,476,,,,,0.0021,0.0399,0.04,456.0,0.0,,,,,,,,0.9868,0.8716,0.7437,,,,,,,,,,
Llama3.1-8B_FewShot,field,Staging,categorical,476,,,,,0.0021,0.0609,0.0616,442.0,4.0,,,,,,,,0.6516,0.2538,0.4639,,,,,,,,,,
Llama3.1-8B_FewShot,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.042,0.042,456.0,0.0,0.0329,0.3473,0.9868,,,,,,,,,0.9912,0.9956,0.9978,0.9978,0.9978,,,,
Llama3.1-8B_FewShot,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.0546,0.0546,450.0,0.0,0.1733,2.1312,0.9844,,,,,,,,,0.9867,0.9889,0.9889,0.9911,0.9956,,,,
Llama3.1-8B_FewShot,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.2731,130.0,86.1607,84.5794
Llama3.1-8B_CoT,field,TumorLocation,array,476,0.5294,0.6105,0.5525,0.58,0.3895,0.1639,0.1639,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,TumorCircumference,array,476,0.6387,0.9171,0.6057,0.7295,0.0829,0.3109,0.3169,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,TumorSize,numeric,476,,,,,0.0,0.187,0.1882,384.0,3.0,0.3823,2.1789,0.9583,0.9583,0.9609,0.9661,0.9661,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,Histologic_type,array,476,0.2332,0.329,0.3115,0.32,0.671,0.1723,0.1723,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,Lauren_type,categorical,476,,,,,0.0,0.1765,0.1765,392.0,0.0,,,,,,,,0.8929,0.3558,0.8106,,,,,,,,,,
Llama3.1-8B_CoT,field,Differentiation,array,476,0.4076,0.4792,0.4976,0.4882,0.5208,0.1471,0.1687,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,ProximalMargin,numeric,476,,,,,0.0,0.1765,0.1772,390.0,2.0,1.2203,21.2011,0.9615,0.9641,0.9667,0.9667,0.9692,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,DistalMargin,numeric,476,,,,,0.0,0.1849,0.1853,387.0,1.0,2.1346,40.4165,0.969,0.9716,0.9742,0.9767,0.9845,,,,,,,,,,,,,
Llama3.1-8B_CoT,field,LymphovascularInvasion,binary,476,,,,0.8701,0.0021,0.1534,0.1537,402.0,0.0,,,,,,,,0.8507,,,0.8688,,,,,,,,,
Llama3.1-8B_CoT,field,PerineuralInvasion,binary,476,,,,0.9694,0.0021,0.1555,0.1558,401.0,0.0,,,,,,,,0.9825,,,0.9726,,,,,,,,,
Llama3.1-8B_CoT,field,T_stage,categorical,476,,,,,0.0042,0.1576,0.1586,398.0,1.0,,,,,,,,0.9523,0.6344,0.9369,,,,,,,,,,
Llama3.1-8B_CoT,field,N_stage,categorical,476,,,,,0.0042,0.1639,0.1646,396.0,0.0,,,,,,,,0.9848,0.6971,0.9695,,,,,,,,,,
Llama3.1-8B_CoT,field,M_stage,categorical,476,,,,,0.0021,0.1639,0.1642,397.0,0.0,,,,,,,,0.9572,0.7147,0.4305,,,,,,,,,,
Llama3.1-8B_CoT,field,Staging,categorical,476,,,,,0.0084,0.1639,0.1656,393.0,1.0,,,,,,,,0.631,0.1837,0.4373,,,,,,,,,,
Llama3.1-8B_CoT,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.166,0.166,397.0,0.0,0.1814,1.4905,0.9698,,,,,,,,,0.9723,0.9773,0.9849,0.9874,0.9899,,,,
Llama3.1-8B_CoT,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.1912,0.1912,385.0,0.0,0.1377,1.5667,0.987,,,,,,,,,0.987,0.9896,0.9896,0.9922,0.9948,,,,
Llama3.1-8B_CoT,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.0462,22.0,68.7894,71.2425
Gemma3-12B_ZeroShot,field,TumorLocation,array,476,0.4496,0.5294,0.6059,0.5651,0.4706,0.0462,0.0462,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,TumorCircumference,array,476,0.7752,0.8826,0.7943,0.8361,0.1174,0.145,0.1478,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,TumorSize,numeric,476,,,,,0.0,0.0567,0.0571,446.0,3.0,0.2562,1.0071,0.8722,0.9013,0.926,0.9439,0.9574,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,Histologic_type,array,476,0.4118,0.5452,0.8648,0.6688,0.4548,0.0483,0.0483,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,Lauren_type,categorical,476,,,,,0.0,0.0588,0.0588,448.0,0.0,,,,,,,,0.9821,0.5966,0.9658,,,,,,,,,,
Gemma3-12B_ZeroShot,field,Differentiation,array,476,0.5294,0.5703,0.7019,0.6293,0.4297,0.0441,0.0506,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,ProximalMargin,numeric,476,,,,,0.0,0.0735,0.0738,439.0,2.0,0.0219,0.2583,0.9909,0.9932,0.9932,0.9932,0.9932,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,DistalMargin,numeric,476,,,,,0.0,0.0609,0.0611,446.0,1.0,0.0827,0.5519,0.9731,0.9731,0.9731,0.9753,0.9843,,,,,,,,,,,,,
Gemma3-12B_ZeroShot,field,LymphovascularInvasion,binary,476,,,,0.907,0.0,0.0462,0.0463,453.0,1.0,,,,,,,,0.8918,,,0.9013,,,,,,,,,
Gemma3-12B_ZeroShot,field,PerineuralInvasion,binary,476,,,,0.9961,0.0,0.063,0.0632,445.0,1.0,,,,,,,,0.9978,,,0.9961,,,,,,,,,
Gemma3-12B_ZeroShot,field,T_stage,categorical,476,,,,,0.0,0.0378,0.0381,455.0,3.0,,,,,,,,0.9802,0.9733,0.9736,,,,,,,,,,
Gemma3-12B_ZeroShot,field,N_stage,categorical,476,,,,,0.0042,0.0336,0.0338,458.0,0.0,,,,,,,,0.9956,0.825,0.9909,,,,,,,,,,
Gemma3-12B_ZeroShot,field,M_stage,categorical,476,,,,,0.0021,0.0168,0.0168,467.0,0.0,,,,,,,,0.9807,0.8284,0.6569,,,,,,,,,,
Gemma3-12B_ZeroShot,field,Staging,categorical,476,,,,,0.0021,0.4517,0.4565,256.0,4.0,,,,,,,,0.7344,0.2662,0.4667,,,,,,,,,,
Gemma3-12B_ZeroShot,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.0294,0.0294,462.0,0.0,0.3853,3.2825,0.974,,,,,,,,,0.974,0.9805,0.987,0.987,0.987,,,,
Gemma3-12B_ZeroShot,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.0483,0.0483,453.0,0.0,0.468,3.0988,0.9272,,,,,,,,,0.9426,0.9713,0.9713,0.9801,0.9868,,,,
Gemma3-12B_ZeroShot,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.0336,16.0,79.3592,80.655
Gemma3-12B_FewShot,field,TumorLocation,array,476,0.8382,0.9148,0.8713,0.8925,0.0852,0.0672,0.0672,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,TumorCircumference,array,476,0.792,0.9466,0.7698,0.8491,0.0534,0.1597,0.1627,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,TumorSize,numeric,476,,,,,0.0,0.0567,0.0571,446.0,3.0,0.338,2.0638,0.9596,0.9596,0.9641,0.9709,0.9709,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,Histologic_type,array,476,0.7416,0.7611,0.8422,0.7996,0.2389,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,Lauren_type,categorical,476,,,,,0.0,0.0693,0.0693,443.0,0.0,,,,,,,,0.9932,0.5993,0.9868,,,,,,,,,,
Gemma3-12B_FewShot,field,Differentiation,array,476,0.5399,0.58,0.6971,0.6332,0.42,0.0462,0.053,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,ProximalMargin,numeric,476,,,,,0.0,0.0756,0.0759,438.0,2.0,0.0151,0.2153,0.9932,0.9954,0.9954,0.9954,0.9954,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,DistalMargin,numeric,476,,,,,0.0,0.0714,0.0716,441.0,1.0,0.0236,0.2382,0.9864,0.9909,0.9909,0.9932,0.9955,,,,,,,,,,,,,
Gemma3-12B_FewShot,field,LymphovascularInvasion,binary,476,,,,0.9637,0.0,0.1134,0.1137,421.0,1.0,,,,,,,,0.9572,,,0.9543,,,,,,,,,
Gemma3-12B_FewShot,field,PerineuralInvasion,binary,476,,,,0.9961,0.0,0.0672,0.0674,443.0,1.0,,,,,,,,0.9977,,,0.9961,,,,,,,,,
Gemma3-12B_FewShot,field,T_stage,categorical,476,,,,,0.0,0.042,0.0423,453.0,3.0,,,,,,,,0.9735,0.8294,0.9647,,,,,,,,,,
Gemma3-12B_FewShot,field,N_stage,categorical,476,,,,,0.0042,0.0462,0.0464,452.0,0.0,,,,,,,,0.9956,0.825,0.9908,,,,,,,,,,
Gemma3-12B_FewShot,field,M_stage,categorical,476,,,,,0.0,0.0525,0.0526,450.0,1.0,,,,,,,,0.9822,0.8416,0.6832,,,,,,,,,,
Gemma3-12B_FewShot,field,Staging,categorical,476,,,,,0.0021,0.584,0.5902,193.0,4.0,,,,,,,,0.9585,0.3493,0.7105,,,,,,,,,,
Gemma3-12B_FewShot,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.0462,0.0462,454.0,0.0,0.1211,1.3739,0.9846,,,,,,,,,0.9846,0.9912,0.9934,0.9934,0.9934,,,,
Gemma3-12B_FewShot,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.0546,0.0546,450.0,0.0,0.2178,1.6452,0.9533,,,,,,,,,0.9667,0.9822,0.9822,0.9889,0.9933,,,,
Gemma3-12B_FewShot,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.1345,64.0,83.968,84.3219
Gemma3-12B_CoT,field,TumorLocation,array,476,0.4349,0.6397,0.5168,0.5717,0.3603,0.2563,0.2563,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_CoT,field,TumorCircumference,array,476,0.6071,0.9211,0.5943,0.7225,0.0789,0.3361,0.3426,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_CoT,field,TumorSize,numeric,476,,,,,0.0,0.2605,0.2622,349.0,3.0,0.3618,1.4715,0.8711,0.8911,0.9112,0.9456,0.957,,,,,,,,,,,,,
Gemma3-12B_CoT,field,Histologic_type,array,476,0.3697,0.5669,0.5902,0.5783,0.4331,0.2563,0.2563,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_CoT,field,Lauren_type,categorical,476,,,,,0.0,0.2605,0.2605,352.0,0.0,,,,,,,,0.9858,0.8514,0.9696,,,,,,,,,,
Gemma3-12B_CoT,field,Differentiation,array,476,0.5021,0.6171,0.5889,0.6027,0.3829,0.2059,0.2361,,,,,,,,,,,,,,,,,,,,,,
Gemma3-12B_CoT,field,ProximalMargin,numeric,476,,,,,0.0,0.2689,0.27,346.0,2.0,0.0584,0.4887,0.9798,0.9855,0.9855,0.9855,0.9855,,,,,,,,,,,,,
Gemma3-12B_CoT,field,DistalMargin,numeric,476,,,,,0.0,0.2689,0.2695,347.0,1.0,2.3392,42.68,0.9798,0.9827,0.9827,0.9827,0.9885,,,,,,,,,,,,,
Gemma3-12B_CoT,field,LymphovascularInvasion,binary,476,,,,0.89,0.0,0.2479,0.2484,357.0,1.0,,,,,,,,0.8739,,,0.8836,,,,,,,,,
Gemma3-12B_CoT,field,PerineuralInvasion,binary,476,,,,0.9944,0.0,0.2605,0.2611,351.0,1.0,,,,,,,,0.9972,,,0.9944,,,,,,,,,
Gemma3-12B_CoT,field,T_stage,categorical,476,,,,,0.0,0.2458,0.2474,356.0,3.0,,,,,,,,0.9719,0.828,0.9624,,,,,,,,,,
Gemma3-12B_CoT,field,N_stage,categorical,476,,,,,0.0021,0.2479,0.2489,356.0,1.0,,,,,,,,0.9972,0.992,0.9938,,,,,,,,,,
Gemma3-12B_CoT,field,M_stage,categorical,476,,,,,0.0021,0.2458,0.2463,358.0,0.0,,,,,,,,0.9888,0.886,0.7723,,,,,,,,,,
Gemma3-12B_CoT,field,Staging,categorical,476,,,,,0.0021,0.2899,0.293,333.0,4.0,,,,,,,,0.6306,0.2102,0.3748,,,,,,,,,,
Gemma3-12B_CoT,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.2479,0.2479,358.0,0.0,0.1006,1.1889,0.9888,,,,,,,,,0.9888,0.9916,0.9944,0.9944,0.9944,,,,
Gemma3-12B_CoT,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.2521,0.2521,356.0,0.0,0.3904,3.0331,0.9466,,,,,,,,,0.9579,0.9719,0.9747,0.9775,0.986,,,,
Gemma3-12B_CoT,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.0273,13.0,64.2595,80.92
Qwen2.5-7B_ZeroShot,field,TumorLocation,array,476,0.7101,0.7551,0.7327,0.7437,0.2449,0.0693,0.0693,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,TumorCircumference,array,476,0.7332,0.9404,0.7151,0.8124,0.0596,0.1996,0.2034,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,TumorSize,numeric,476,,,,,0.0,0.0609,0.0613,444.0,3.0,0.4293,2.2278,0.8896,0.9459,0.955,0.964,0.964,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,Histologic_type,array,476,0.2479,0.2684,0.2766,0.2725,0.7316,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,Lauren_type,categorical,476,,,,,0.0,0.0651,0.0651,445.0,0.0,,,,,,,,0.8112,0.1773,0.6762,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,Differentiation,array,476,0.5189,0.5366,0.5986,0.5659,0.4634,0.0441,0.0506,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,ProximalMargin,numeric,476,,,,,0.0021,0.0777,0.0781,437.0,1.0,0.0506,0.4984,0.9863,0.9886,0.9886,0.9886,0.9886,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,DistalMargin,numeric,476,,,,,0.0,0.0735,0.0737,440.0,1.0,0.0652,0.5751,0.9818,0.9841,0.9841,0.9864,0.9886,,,,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,LymphovascularInvasion,binary,476,,,,0.9053,0.0,0.0399,0.04,456.0,1.0,,,,,,,,0.8904,,,0.899,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,PerineuralInvasion,binary,476,,,,0.9961,0.0,0.0588,0.0589,447.0,1.0,,,,,,,,0.9978,,,0.9961,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,T_stage,categorical,476,,,,,0.0,0.0399,0.0402,454.0,3.0,,,,,,,,0.9714,0.8073,0.9618,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,N_stage,categorical,476,,,,,0.0042,0.0399,0.0401,455.0,0.0,,,,,,,,0.9956,0.825,0.9909,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,M_stage,categorical,476,,,,,0.0021,0.0021,0.0021,474.0,0.0,,,,,,,,0.9768,0.8166,0.6332,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,Staging,categorical,476,,,,,0.0042,0.0378,0.0382,453.0,3.0,,,,,,,,0.6137,0.1385,0.4478,,,,,,,,,,
Qwen2.5-7B_ZeroShot,field,MetastaticLymphNode,numeric,476,,,,,0.0,0.0399,0.0399,457.0,0.0,0.0153,0.1812,0.9912,,,,,,,,,0.9956,0.9978,1.0,1.0,1.0,,,,
Qwen2.5-7B_ZeroShot,field,HarvestedLymphNode,numeric,476,,,,,0.0,0.0525,0.0525,451.0,0.0,1.7494,7.2438,0.9002,,,,,,,,,0.9135,0.9246,0.9246,0.9313,0.9357,,,,
Qwen2.5-7B_ZeroShot,report,ALL,report,476,,,,,,,,,,,,,,,,,,,,,,,,,,0.0084,4.0,79.7006,74.3713
Qwen2.5-7B_FewShot,field,TumorLocation,array,476,0.8151,0.8716,0.8871,0.8793,0.1284,0.0588,0.0588,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,TumorCircumference,array,476,0.7899,0.8287,0.8491,0.8388,0.1713,0.0819,0.0835,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,TumorSize,numeric,476,,,,,0.0,0.0609,0.0613,444.0,3.0,0.4147,2.0733,0.9009,0.9324,0.9437,0.955,0.9617,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,Histologic_type,array,476,0.6954,0.6994,0.7725,0.7342,0.3006,0.0525,0.0525,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,Lauren_type,categorical,476,,,,,0.0,0.0651,0.0651,445.0,0.0,,,,,,,,0.9573,0.4624,0.918,,,,,,,,,,
Qwen2.5-7B_FewShot,field,Differentiation,array,476,0.5441,0.563,0.6226,0.5913,0.437,0.0441,0.0506,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,ProximalMargin,numeric,476,,,,,0.0,0.0651,0.0654,443.0,2.0,0.1018,0.749,0.9729,0.9752,0.9774,0.9774,0.9797,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,DistalMargin,numeric,476,,,,,0.0,0.0756,0.0758,439.0,1.0,0.0544,0.5309,0.9841,0.9863,0.9863,0.9886,0.9909,,,,,,,,,,,,,
Qwen2.5-7B_FewShot,field,LymphovascularInvasion,binary,476,,,,0.9506,0.0,0.1218,0.1221,417.0,1.0,,,,,,,,0.9424,,,0.9416,,,,,,,,,
Qwen2.5-7B_FewShot,field,PerineuralInvasion,binary,476,,,,0.9921,0.0,0.0651,0.0653,444.0,1.0,,,,,,,,0.9955,,,0.9922,,,,,,,,,
Qwen2.5-7B_FewShot,field,T_stage,categorical,476,,,,,0.0,0.0441,0.0444,452.0,3.0,,,,,,,,0.9712,0.8105,0.9617,,,,,,,,,,
Qwen2.5-7B_FewShot,field,N_stage,categorical,476,,,,,0.0042,0.0441,0.0443,453.0,0.0,,,,,,,,0.9956,0.825,0.9909,,,,,,,,,,
Qwen2.5-7B_FewShot,field,M_stage,categorical,476,,,,,0.0021,0.0273,0.0274,462.0,0.0,,,,,,,,0.987,0.8717,0.7438,,,,,,,,,,
Qwen2.5-7B_FewShot,field,Staging,categorical,476,,,,,0.0042,0.0483,0.0488,448.0,3.0,,,,,,,,0.7254,0.3734,0.558,,,,,,,,,,
